key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,5.885,0.029503106,-0.232919255,1,0,0,6.212,cont1,0,0,0,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,5f0f6341b0b87f08708229b9,2020-12-28_17h55.42.756,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea625f0d786d5943c6507a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5f0f6341b0b87f08708229b9,2020-12-28_17h55.42.756,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea625f0d786d5943c6507a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,5f0f6341b0b87f08708229b9,2020-12-28_17h55.42.756,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea625f0d786d5943c6507a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5f0f6341b0b87f08708229b9,2020-12-28_17h55.42.756,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea625f0d786d5943c6507a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5f0f6341b0b87f08708229b9,2020-12-28_17h55.42.756,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea625f0d786d5943c6507a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5f0f6341b0b87f08708229b9,2020-12-28_17h55.42.756,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea625f0d786d5943c6507a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,5f0f6341b0b87f08708229b9,2020-12-28_17h55.42.756,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea625f0d786d5943c6507a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5f0f6341b0b87f08708229b9,2020-12-28_17h55.42.756,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea625f0d786d5943c6507a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5f0f6341b0b87f08708229b9,2020-12-28_17h55.42.756,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea625f0d786d5943c6507a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5f0f6341b0b87f08708229b9,2020-12-28_17h55.42.756,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea625f0d786d5943c6507a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
