key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,8.262605,-0.00304414,-0.309741248,1,0,0,19.822345,cont1,0,0,0,14,1,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,5f700e2d56de4b5dd5ccc0c3,2020-12-28_15h04.43.284,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea647a84b3a9a8484b8f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5f700e2d56de4b5dd5ccc0c3,2020-12-28_15h04.43.284,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea647a84b3a9a8484b8f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5f700e2d56de4b5dd5ccc0c3,2020-12-28_15h04.43.284,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea647a84b3a9a8484b8f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5f700e2d56de4b5dd5ccc0c3,2020-12-28_15h04.43.284,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea647a84b3a9a8484b8f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5f700e2d56de4b5dd5ccc0c3,2020-12-28_15h04.43.284,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea647a84b3a9a8484b8f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5f700e2d56de4b5dd5ccc0c3,2020-12-28_15h04.43.284,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea647a84b3a9a8484b8f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,5f700e2d56de4b5dd5ccc0c3,2020-12-28_15h04.43.284,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea647a84b3a9a8484b8f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,5f700e2d56de4b5dd5ccc0c3,2020-12-28_15h04.43.284,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea647a84b3a9a8484b8f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,17,1,0.015,0.028,0.013,range,rifle,SF,images/range-rifle-sf.png,5f700e2d56de4b5dd5ccc0c3,2020-12-28_15h04.43.284,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea647a84b3a9a8484b8f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5f700e2d56de4b5dd5ccc0c3,2020-12-28_15h04.43.284,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea647a84b3a9a8484b8f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,10,10,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,5f700e2d56de4b5dd5ccc0c3,2020-12-28_15h04.43.284,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea647a84b3a9a8484b8f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,11,11,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5f700e2d56de4b5dd5ccc0c3,2020-12-28_15h04.43.284,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea647a84b3a9a8484b8f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,12,12,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5f700e2d56de4b5dd5ccc0c3,2020-12-28_15h04.43.284,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea647a84b3a9a8484b8f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,13,13,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,5f700e2d56de4b5dd5ccc0c3,2020-12-28_15h04.43.284,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea647a84b3a9a8484b8f08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
