key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,images,cue,target,font,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,pairs,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,6.199625,0.005464579,-0.302185883,1,0,0,7.39599,cont1,0,0,0,4,1,images/boss-sf.jpeg,employee,boss,sf,5d14f2d096f2470018dbfcff,2020-12-21_13h47.09.905,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10954ece28c310f93b6c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,17,1,images/patience-sf.jpeg,virtue,patience,sf,5d14f2d096f2470018dbfcff,2020-12-21_13h47.09.905,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10954ece28c310f93b6c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,3,1,images/swim-sf.jpeg,dive,swim,sf,5d14f2d096f2470018dbfcff,2020-12-21_13h47.09.905,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10954ece28c310f93b6c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,8,1,images/happiness-a.jpeg,joy,happiness,a,5d14f2d096f2470018dbfcff,2020-12-21_13h47.09.905,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10954ece28c310f93b6c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,10,1,images/sharp-a.jpeg,knife,sharp,a,5d14f2d096f2470018dbfcff,2020-12-21_13h47.09.905,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10954ece28c310f93b6c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,18,1,images/candle-a.jpeg,wax,candle,a,5d14f2d096f2470018dbfcff,2020-12-21_13h47.09.905,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10954ece28c310f93b6c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,0,1,images/crash-sf.jpeg,accident,crash,sf,5d14f2d096f2470018dbfcff,2020-12-21_13h47.09.905,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10954ece28c310f93b6c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,12,1,images/article-sf.jpeg,magazine,article,sf,5d14f2d096f2470018dbfcff,2020-12-21_13h47.09.905,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10954ece28c310f93b6c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,14,1,images/trail-sf.jpeg,path,trail,sf,5d14f2d096f2470018dbfcff,2020-12-21_13h47.09.905,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10954ece28c310f93b6c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,9,1,images/destory-sf.jpeg,kill,destroy,sf,5d14f2d096f2470018dbfcff,2020-12-21_13h47.09.905,weird_font1,2020.2.10,Win32,60,5fe0f7ff878eaaaf22a7b442,5fe10954ece28c310f93b6c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
